,,,,,,
Etapa do Funil,Tempo de Disparo após Inatividade,Nome do Template da Mensagem,Categoria da Mensagem,Template da Mensagem,Resposta Automática,Status
Fechamento (IA),24 horas,fechamento_24h,marketing,"🚨 Oferta super limitada! Se você quer fechar com condições especiais, agora é a hora. Vagas reduzidas e benefícios exclusivos. Me avisa se quiser garantir! Você prefere parcelar ou pagar à vista?",Sim,Criado
Fechamento (IA),48 hora,fechamento_48h,marketing,"Essa é sua última chance, {{1}}! Seu pedido está quase finalizado, só falta sua confirmação. Depois de hoje, não sei quando essa condição voltará. Se você realmente quer transformar suas vendas, esse é o momento de tomar a decisão. Podemos finalizar agora?""
",Sim,Criado
Carrinho Abandonado,20 minutos,carrinho_20min,marketing,"Oi, {{1}}! Percebi que você iniciou seu processo de inscrição, mas não finalizou. Caso tenha alguma dúvida ou precise de ajuda, estou por aqui!",Sim,Criado
Carrinho Abandonado,1 hora,carrinho_1h,Utility,"Boss, seu pedido está reservado, mas por tempo limitado! 🎁 Se finalizar agora, você garante todos os bônus exclusivos. Vamos concluir?",Sim,Criado
Carrinho Abandonado,23 horas,carrinho_23h,Utility,"""Boss, você não está sozinho! Muitas lojistas estavam na mesma situação, mas decidiram agir e hoje têm resultados incríveis. Quer ver como elas estão vendendo mais? Ainda dá tempo de garantir sua vaga: [Link para finalizar a inscrição]""",Sim,aprovado
Carrinho Abandonado,5 dias,carrinho_5dias,Utility,"""Boss, essa pode ser sua última chance de entrar no Conteúdo Inteligente com as condições especiais de hoje. Se quiser transformar sua estratégia de conteúdo, a hora é agora! ⚡ Últimas vagas: [Link para finalizar a inscrição]""",Sim,aprovado
checkout,Imediatamente,checkout_10min,Utility,"""Boss, parabéns! 🎉 Sua inscrição no Conteúdo Inteligente foi confirmada! Agora você tem acesso ao nosso calendário estratégico e bônus exclusivos para transformar seu Instagram. Confira seu acesso aqui: [LINK DO LOGIN]""",Sim,aprovado
checkout,1 hora,checkout_1h,Utility,"""Agora que você já garantiu seu acesso, que tal dar o primeiro passo?  O segredo para ter resultados é começar AGORA! Aqui está o cronograma para você já aplicar sua nova estratégia: [LINK]""",Sim,aprovado
checkout,23 horas,checkout_2h,Utility,"""Boss, já começou a aplicar o método? 💡 Muitas alunas viram mudanças no engajamento já nos primeiros dias! Quer ver como outras lojistas estão usando nossa estratégia para vender mais? Confira os depoimentos aqui: [LINK]""",Sim,aprovado
checkout,5 dias,checkout_1d,Utility,"""Boss, 5 dias se passaram e agora quero saber: você já começou a implementar sua estratégia?  Se precisar de alguma ajuda, nossa equipe está disponível para te apoiar! 💬""",Sim,aprovado
checkout,15 dias,checkout_2d,Utility,"""Boss, sabemos que a rotina é corrida, mas não queremos que você perca o ritmo!  Preparamos um treinamento bônus exclusivo para te ajudar a aplicar o Conteúdo Inteligente e turbinar seus resultados! [Link para o treinamento]""",Sim,aprovado
