"Identificador URL";Nome;Categorias;"Nome da variação 1";"Valor da variação 1";"Nome da variação 2";"Valor da variação 2";"Nome da variação 3";"Valor da variação 3";Preço;"Preço promocional";"Peso (kg)";"Altura (cm)";"Largura (cm)";"Comprimento (cm)";Estoque;SKU;"Código de barras";"Exibir na loja";"Frete gratis";Descrição;Tags;"Título para SEO";"Descrição para SEO";Marca;"Produto Físico";"MPN (Cód. Exclusivo, Modelo Fabricante)";Sexo;"Faixa etária";Custo
calcinha-biquini-em-microfibra-corte-a-fio-valisere-branco-44214;;;Cor;Branco;Tamanho;G;;;49.00;39.00;0.05;5.00;15.00;15.00;13;44214BCOG;7891475293782;;;;;;;;;44214BCOG;Feminino;Adulto;9.99
calcinha-biquini-em-microfibra-corte-a-fio-valisere-branco-44214;;;Cor;Branco;Tamanho;GG;;;49.00;39.00;0.05;5.00;15.00;15.00;9;44214BCOGG;7891475385173;;;;;;;;;44214BCOGG;Feminino;Adulto;9.99
sutia-rendado-com-bojo-triangular-duhellen-branco-53951;"Sutiã Rendado Com Bojo Triangular Duhellen Branco 5395";;Cor;Branco;Tamanho;"P (42)";;;119.90;89.00;0.10;8.00;16.00;35.00;12;5395BCOP;7899990214954;SIM;NÃO;"<p>Se voc&ecirc; tem seios grandes e volumosos&nbsp;este &eacute; o modelo perfeito para voc&ecirc;!! O suti&atilde; em renda com bojo triangular espumados com suavidade e toque macio, oferece&nbsp;extrema leveza e flexibilidade e chegou para resolver seu problema de conforto e beleza.</p>

<p>Serve para todos os tamanhos e oferece o maior n&iacute;vel de qualidade e conforto.</p>

<p>Al&ccedil;as&nbsp;e el&aacute;stico com tamanho regul&aacute;vel, lateral em renda ideal para deixar a mostra.&nbsp;&nbsp;</p>

<p>O fechamento posterior por colchete triplo&nbsp;com tr&ecirc;s n&iacute;veis de ajuste.</p>

<p>Conhe&ccedil;a tamb&eacute;m nossos modelos de&nbsp;<em><strong><a href=""https://www.duhellen.com.br/cat-sutias/sub-nadador/""><span style=""color: #ff0000;"">suti&atilde; nadador</span></a></strong></em>&nbsp;para usar&nbsp;suas regatas favoritas sem se preocupar com as alcinhas!</p>

<p>&nbsp;</p>

<p><strong>ESTRUTURA DA PE&Ccedil;A</strong></p>

<p>Par de bojos com espuma sweet garantindo extrema leveza e flexibilidade.</p>

<p>Al&ccedil;as em el&aacute;stico com regulagem.</p>

<p>Fechos posterior por colchete duplo ou triplo com tr&ecirc;s n&iacute;veis de ajuste</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">GUIA DE MEDIDAS</strong></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">Para saber sua medida do T&Oacute;RAX: Passe a fita m&eacute;trica por debaixo dos seios e pelas costas, seguindo uma linha horizontal. Aperte bem e expire o ar dos pulm&otilde;es para obter a medida certa.</span></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO P (N&uacute;mero&nbsp;42)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 67&nbsp;a 77&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO M&nbsp;(N&uacute;mero&nbsp;44)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 74&nbsp;a 84&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO G&nbsp;(N&uacute;mero&nbsp;46)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 80&nbsp;a 90&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO GG (N&uacute;mero 48) - T&oacute;rax 86 a 96 cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO XG (N&uacute;mero 50) - T&oacute;rax 90 a 100 cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO EG (N&uacute;mero 52) - T&oacute;rax 96 a 106 cm<br />
<br />
<span style=""color: rgb(0, 0, 0); font-family: &quot;PT Sans Narrow&quot;, sans-serif; font-size: 14px;"">As al&ccedil;as acompanham o tamanho dos bojos, suti&atilde;s P e M al&ccedil;as de 10mm, G al&ccedil;as de 13mm, GG e XG al&ccedil;as de 18mm</span></p>

<h3><strong>COMPOSI&Ccedil;&Atilde;O</strong></h3>

<p>Tecido:&nbsp;90% Poliamida 10% Elastano</p>

<p>Bojo:&nbsp;60% Poliuretano 40% Poli&eacute;ster</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">CUIDADOS</strong></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">Para manter a qualidade e durabilidade de sua pe&ccedil;a, lave-a &agrave; m&atilde;o com sab&atilde;o neutro, n&atilde;o use cloro, deixe secar por gotejamento, n&atilde;o passe ou utilize vaporiza&ccedil;&atilde;o, n&atilde;o limpe &agrave; seco, limpeza a &uacute;mido pro-normal.</p>

<p>&nbsp;</p>
";;;;;SIM;5395BCOP;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-branco-53951;;;Cor;Branco;Tamanho;"M (44)";;;119.90;89.00;0.10;8.00;16.00;35.00;36;5395BCOM;7899990214961;;;;;;;;;5395BCOM;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-branco-53951;;;Cor;Branco;Tamanho;"G (46)";;;119.90;89.00;0.10;8.00;16.00;35.00;27;5395BCOG;7899990214978;;;;;;;;;5395BCOG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-branco-53951;;;Cor;Branco;Tamanho;"XG (50)";;;119.90;89.00;0.10;8.00;16.00;35.00;49;5395BCOXG;7899990218563;;;;;;;;;5395BCOXG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-branco-53951;;;Cor;Branco;Tamanho;"EG (52)";;;119.90;89.00;0.10;8.00;16.00;35.00;18;5395BCOEG;7899990218570;;;;;;;;;5395BCOEG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;"Sutiã Rendado Com Bojo Triangular Duhellen Bordô 5395";;Cor;Bordô;Tamanho;"P (42)";;;119.90;89.00;0.10;8.00;16.00;35.00;22;5395BORP;7899990214916;SIM;NÃO;"<p>Se voc&ecirc; tem seios grandes e volumosos&nbsp;este &eacute; o modelo perfeito para voc&ecirc;!! O suti&atilde; em renda com bojo triangular espumados com suavidade e toque macio, oferece&nbsp;extrema leveza e flexibilidade e chegou para resolver seu problema de conforto e beleza.</p>

<p>Serve para todos os tamanhos e oferece o maior n&iacute;vel de qualidade e conforto.</p>

<p>Al&ccedil;as&nbsp;e el&aacute;stico com tamanho regul&aacute;vel, lateral em renda ideal para deixar a mostra.&nbsp;&nbsp;</p>

<p>O fechamento posterior por colchete triplo&nbsp;com tr&ecirc;s n&iacute;veis de ajuste.</p>

<p>Conhe&ccedil;a tamb&eacute;m nossos modelos de&nbsp;<em><strong><a href=""https://www.duhellen.com.br/cat-sutias/sub-nadador/""><span style=""color: #ff0000;"">suti&atilde; nadador</span></a></strong></em>&nbsp;para usar&nbsp;suas regatas favoritas sem se preocupar com as alcinhas!</p>

<p>&nbsp;</p>

<p><strong>ESTRUTURA DA PE&Ccedil;A</strong></p>

<p>Par de bojos com espuma sweet garantindo extrema leveza e flexibilidade.</p>

<p>Al&ccedil;as em el&aacute;stico com regulagem.</p>

<p>Fechos posterior por colchete duplo ou triplo com tr&ecirc;s n&iacute;veis de ajuste</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">GUIA DE MEDIDAS</strong></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">Para saber sua medida do T&Oacute;RAX: Passe a fita m&eacute;trica por debaixo dos seios e pelas costas, seguindo uma linha horizontal. Aperte bem e expire o ar dos pulm&otilde;es para obter a medida certa.</span></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO P (N&uacute;mero&nbsp;42)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 67&nbsp;a 77&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO M&nbsp;(N&uacute;mero&nbsp;44)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 74&nbsp;a 84&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO G&nbsp;(N&uacute;mero&nbsp;46)<strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">&nbsp;-&nbsp;</strong>T&oacute;rax 80&nbsp;a 90&nbsp;cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO GG (N&uacute;mero 48) - T&oacute;rax 86 a 96 cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO XG (N&uacute;mero 50) - T&oacute;rax 90 a 100 cm</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">TAMANHO EG (N&uacute;mero 52) - T&oacute;rax 96 a 106 cm<br />
<br />
<span style=""color: rgb(0, 0, 0); font-family: &quot;PT Sans Narrow&quot;, sans-serif; font-size: 14px;"">As al&ccedil;as acompanham o tamanho dos bojos, suti&atilde;s P e M al&ccedil;as de 10mm, G al&ccedil;as de 13mm, GG e XG al&ccedil;as de 18mm</span></p>

<h3><strong>COMPOSI&Ccedil;&Atilde;O</strong></h3>

<p>Tecido:&nbsp;90% Poliamida 10% Elastano</p>

<p>Bojo:&nbsp;60% Poliuretano 40% Poli&eacute;ster</p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline;"">CUIDADOS</strong></p>

<p style=""margin-top: 20px; margin-bottom: 20px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; max-width: 100%; font-family: 'PT Sans Narrow', sans-serif;"">Para manter a qualidade e durabilidade de sua pe&ccedil;a, lave-a &agrave; m&atilde;o com sab&atilde;o neutro, n&atilde;o use cloro, deixe secar por gotejamento, n&atilde;o passe ou utilize vaporiza&ccedil;&atilde;o, n&atilde;o limpe &agrave; seco, limpeza a &uacute;mido pro-normal.</p>

<p>&nbsp;</p>
";;;;;SIM;5395BORP;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;;;Cor;Bordô;Tamanho;"M (44)";;;119.90;89.00;0.10;8.00;16.00;35.00;40;5395BORM;7899990214923;;;;;;;;;5395BORM;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;;;Cor;Bordô;Tamanho;"G (46)";;;119.90;89.00;0.10;8.00;16.00;35.00;51;5395BORG;7899990214930;;;;;;;;;5395BORG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;;;Cor;Bordô;Tamanho;"GG (48)";;;119.90;89.00;0.10;8.00;16.00;35.00;10;5395BORGG;7899990214947;;;;;;;;;5395BORGG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;;;Cor;Bordô;Tamanho;"XG (50)";;;119.90;89.00;0.10;8.00;16.00;35.00;21;5395BORXG;7899990218549;;;;;;;;;5395BORXG;Feminino;Adulto;30.00
sutia-rendado-com-bojo-triangular-duhellen-bordo-53951;;;Cor;Bordô;Tamanho;"EG (52)";;;119.90;89.00;0.10;8.00;16.00;35.00;36;5395BOREG;7899990218556;;;;;;;;;5395BOREG;Feminino;Adulto;30.00
