,,,,,,
Etapa do Funil,Tempo de Disparo após Inatividade,Nome do Template da Mensagem,Categoria da Mensagem,Template da Mensagem,Resposta Automática,Status
Lead com Dúvidas (IA),23 horas,duvida_23h,Utility,"""Boss, sabia que mais de 2000 lojistas já estão aplicando essa estratégia e vendo resultados incríveis? Não sou só eu dizendo, são pessoas que estavam na mesma situação que você e decidiram agir! Quer ver alguns depoimentos?""",Sim,aprovado
Lead com Dúvidas (IA),5 dias,duvida_5dias,Utility,"""Boss, vi que você ainda tem dúvidas... Mas me diz, o que te faria tomar essa decisão agora? Se quiser, posso te conectar com um especialista para entender melhor sua situação e te ajudar a definir o melhor caminho. O que acha?""",Sim,aprovado
Lead Qualificado - Fechamento (IA),10 minutos,fechamento_10min,Utility,"""Boss, viu a oferta? Se precisar de mais detalhes, posso te explicar melhor!""",Sim,aprovado
Lead Qualificado - Fechamento (IA),1 hora,fechamento_1h,Utility,"""Boss, vi que você acessou a página mas ainda não finalizou. Só lembrando que os bônus são por tempo limitado! Quer garantir antes que acabe?""",Sim,aprovado
Lead Qualificado - Fechamento (IA),24 horas,fechamento_24h,Utility,"""Última chamada! Hoje é o último dia para garantir o bônus e não quero que você perca essa chance! """,Sim,aprovado
Carrinho Abandonado,20 minutos,carrinho_20min,Utility,"""Boss, vi que você iniciou o processo de inscrição, mas não finalizou. Se precisar de alguma ajuda ou tiver alguma dúvida, estou por aqui! """,Sim,aprovado
Carrinho Abandonado,1 hora,carrinho_1h,Utility,"""Boss, só passando para te lembrar que seu acesso ao Conteúdo Inteligente está reservado, mas não por muito tempo. 😬 Finalize agora e receba [BÔNUS EXCLUSIVO]!  [Link para finalizar a inscrição]""",Sim,aprovado
Carrinho Abandonado,23 horas,carrinho_23h,Utility,"""Boss, você não está sozinho! Muitas lojistas estavam na mesma situação, mas decidiram agir e hoje têm resultados incríveis. Quer ver como elas estão vendendo mais? Ainda dá tempo de garantir sua vaga: [Link para finalizar a inscrição]""",Sim,aprovado
Carrinho Abandonado,5 dias,carrinho_5dias,Utility,"""Boss, essa pode ser sua última chance de entrar no Conteúdo Inteligente com as condições especiais de hoje. Se quiser transformar sua estratégia de conteúdo, a hora é agora! ⚡ Últimas vagas: [Link para finalizar a inscrição]""",Sim,aprovado
Compra Concluída (Pós-Venda),Imediatamente,pos_venda_imediato,Utility,"""Boss, parabéns! 🎉 Sua inscrição no Conteúdo Inteligente foi confirmada! Agora você tem acesso ao nosso calendário estratégico e bônus exclusivos para transformar seu Instagram. Confira seu acesso aqui: [LINK DO LOGIN]""",Sim,aprovado
Compra Concluída (Pós-Venda),1 hora,pos_venda_1h,Utility,"""Agora que você já garantiu seu acesso, que tal dar o primeiro passo?  O segredo para ter resultados é começar AGORA! Aqui está o cronograma para você já aplicar sua nova estratégia: [LINK]""",Sim,aprovado
Compra Concluída (Pós-Venda),23 horas,pos_venda_23h,Utility,"""Boss, já começou a aplicar o método? 💡 Muitas alunas viram mudanças no engajamento já nos primeiros dias! Quer ver como outras lojistas estão usando nossa estratégia para vender mais? Confira os depoimentos aqui: [LINK]""",Sim,aprovado
Compra Concluída (Pós-Venda),5 dias,pos_venda_5dias,Utility,"""Boss, 5 dias se passaram e agora quero saber: você já começou a implementar sua estratégia?  Se precisar de alguma ajuda, nossa equipe está disponível para te apoiar! 💬""",Sim,aprovado
Cliente Não Engajado (Pós-Venda),15 dias,Reengajamento com Incentivo,Utility,"""Boss, sabemos que a rotina é corrida, mas não queremos que você perca o ritmo!  Preparamos um treinamento bônus exclusivo para te ajudar a aplicar o Conteúdo Inteligente e turbinar seus resultados! [Link para o treinamento]""",Sim,aprovado
